symbol,token
ZODIACLOTH-EQ,3821
HINDMOTORS-EQ,21676
MOM100-EQ,21423
TORNTPOWER-EQ,13786
SAFARI-EQ,13035
EBBETF0433-EQ,13139
STCINDIA-EQ,10948
KOTAKMNC-EQ,10676
BALKRISIND-EQ,335
SEQUENT-EQ,14296
SUPREMEIND-EQ,3363
KANORICHEM-EQ,1835
HPL-EQ,18679
THEMISMED-EQ,14485
HEG-EQ,1336
VIKASECO-EQ,25756
MOREPENLAB-EQ,2259
PPAP-EQ,15209
ICICIBANKN-EQ,11037
MOGSEC-EQ,1507
ALOKINDS-EQ,17675
REPL-EQ,1480
CREDITACC-EQ,4421
SBIETFQLTY-EQ,7218
USK-EQ,14871
BAGFILMS-EQ,11226
NACLIND-EQ,20425
NAHARINDUS-EQ,13106
LINCOLN-EQ,11596
SKMEGGPROD-EQ,4732
APOLLOPIPE-EQ,14361
MHLXMIRU-EQ,7886
HINDCOPPER-EQ,17939
BBOX-EQ,3435
PRSMJOHNSN-EQ,2739
JPOLYINVST-EQ,31507
11NSETEST-EQ,12841
HINDALCO-EQ,1363
RBA-EQ,1494
DJML-EQ,12749
FDC-EQ,4898
GRINDWELL-EQ,13560
GOKULAGRO-EQ,14480
NATCOPHARM-EQ,3918
AUBANK-EQ,21238
HDFCMOMENT-EQ,11538
VLSFINANCE-EQ,3715
PRAKASHSTL-EQ,19599
APCL-EQ,20453
VADILALIND-EQ,24196
JBMA-EQ,11655
SILVERBEES-EQ,8080
GEPIL-EQ,7862
TATACHEM-EQ,3405
SBIETFIT-EQ,740
21STCENMGM-EQ,4
JSWENERGY-EQ,17869
SYNCOMF-EQ,11992
LUXIND-EQ,11301
INDIANB-EQ,14309
BANKA-EQ,822
PTL-EQ,14101
HDFCGROWTH-EQ,11241
UMANGDAIRY-EQ,11387
RHL-EQ,15157
BAJFINANCE-EQ,317
ASHIMASYN-EQ,206
GMBREW-EQ,1168
NIRAJ-EQ,255
ATGL-EQ,6066
NIF100BEES-EQ,29577
AROGRANITE-EQ,14557
NAUKRI-EQ,13751
OSWALGREEN-EQ,471
GUJALKALI-EQ,1267
ESABINDIA-EQ,955
ICICISILVE-EQ,7942
TFL-EQ,14319
TI-EQ,19196
PRAENG-EQ,13941
PRAJIND-EQ,2705
SURYALAXMI-EQ,11852
APARINDS-EQ,11491
PAGEIND-EQ,14413
POONAWALLA-EQ,11403
WELCORP-EQ,11821
PRECAM-EQ,12603
NCLIND-EQ,14490
ATALREAL-EQ,15649
MSUMI-EQ,8596
IRB-EQ,15313
COSMOFIRST-EQ,742
COFORGE-EQ,11543
121NSETEST-EQ,14777
BANARISUG-EQ,350
ANTGRAPHIC-EQ,5194
5PAISA-EQ,445
CUMMINSIND-EQ,1901
VSSL-EQ,27067
DCAL-EQ,21704
KIMS-EQ,4847
FINOPB-EQ,6579
ALKYLAMINE-EQ,4487
MRF-EQ,2277
TEXINFRA-EQ,11549
A2ZINFRA-EQ,20906
ALPHAGEO-EQ,14597
TRITURBINE-EQ,25584
021NSETEST-EQ,14751
DREDGECORP-EQ,11271
CENTUM-EQ,14982
AARTISURF-EQ,19233
SHARIABEES-EQ,17044
SAREGAMA-EQ,4892
RAMASTEEL-EQ,10300
CANFINHOME-EQ,583
ICICISENSX-EQ,4378
STLTECH-EQ,9309
BEML-EQ,395
HITECHGEAR-EQ,4433
SHRENIK-EQ,11149
KAKATCEM-EQ,1811
TATASTLLP-EQ,1639
SRHHYPOLTD-EQ,14582
IRFC-EQ,2029
ASIANTILES-EQ,14889
BATAINDIA-EQ,371
MANAKALUCO-EQ,7420
SUMMITSEC-EQ,21275
GLOBALVECT-EQ,13735
IRCON-EQ,4986
INTLCONV-EQ,5606
LAOPALA-EQ,14423
SCHAEFFLER-EQ,1011
HBSL-EQ,4116
CREATIVEYE-EQ,9384
SHILPAMED-EQ,17752
JHS-EQ,13720
BANCOINDIA-EQ,13880
KAPSTON-EQ,18967
KEC-EQ,13260
KRITI-EQ,6417
EMIL-EQ,11530
JINDALPHOT-EQ,11743
KBCGLOBAL-EQ,2354
INGERRAND-EQ,1597
MOTHERSON-EQ,4204
RAMRAT-EQ,10485
SHRADHA-EQ,708
ESSARSHPNG-EQ,25634
ORISSAMINE-EQ,19931
OBCL-EQ,8797
LASA-EQ,21713
DCMNVL-EQ,11039
SEPOWER-EQ,27303
RACE-EQ,15391
SECURCRED-EQ,11520
AJANTPHARM-EQ,8124
UTIAMC-EQ,527
AYMSYNTEX-EQ,10285
RVNL-EQ,9552
ELECTCAST-EQ,928
DMCC-EQ,6973
VALIANTORG-EQ,330
UNIDT-EQ,201
GPTINFRA-EQ,17685
MEDANTA-EQ,11956
INDUSTOWER-EQ,29135
LIQUIDETF-EQ,1927
CPSEETF-EQ,2328
SMARTLINK-EQ,9889
LICHSGFIN-EQ,1997
USHAMART-EQ,8840
TIPSINDLTD-EQ,9117
UCOBANK-EQ,11223
SHANTI-EQ,5650
BALMLAWRIE-EQ,338
KOTAKPSUBK-EQ,15061
INFOMEDIA-EQ,13693
KAYA-EQ,10276
BHARATRAS-EQ,3834
PRITIKAUTO-EQ,5292
KALYANKJIL-EQ,2955
LICNETFSEN-EQ,11441
MARINE-EQ,1328
CDSL-EQ,21174
KOTHARIPRO-EQ,5528
ONELIFECAP-EQ,25492
CAPLIPOINT-EQ,3906
SGL-EQ,13367
DABUR-EQ,772
SIMBHALS-EQ,14612
LIBAS-EQ,11082
KRBL-EQ,10577
RAJTV-EQ,14403
DIAMONDYD-EQ,21840
IFBAGRO-EQ,1482
XELPMOC-EQ,8477
MOLDTECH-EQ,17625
63MOONS-EQ,11868
360ONE-EQ,13061
KOKUYOCMLN-EQ,16827
CANBK-EQ,10794
TIJARIA-EQ,25482
DHANBANK-EQ,11359
KEI-EQ,13310
KANPRPLA-EQ,1782
UNIONBANK-EQ,10753
IONEXCHANG-EQ,1630
BURNPUR-EQ,15194
MEDICAMEQ-EQ,6278
MID150BEES-EQ,8506
GAIL-EQ,4717
SUNTV-EQ,13404
NITINSPIN-EQ,13175
MAHKTECH-EQ,7074
VSTTILLERS-EQ,24292
DSPNEWETF-EQ,6606
RSWM-EQ,2794
RUPA-EQ,25724
BSLNIFTY-EQ,24781
LODHA-EQ,3220
GRSE-EQ,5475
VIMTALABS-EQ,13101
GODREJAGRO-EQ,144
MAHASTEEL-EQ,17527
ROUTE-EQ,128
MSPL-EQ,11919
DHUNINV-EQ,22233
HDFCNEXT50-EQ,10619
BAJAJHIND-EQ,308
CAMS-EQ,342
VIVIDHA-EQ,29877
KOTAKCONS-EQ,10512
RAILTEL-EQ,2431
JISLJALEQS-EQ,10397
ASHAPURMIN-EQ,203
HAVELLS-EQ,9819
APOLLOHOSP-EQ,157
EMAMIREAL-EQ,19277
BANG-EQ,15303
GENCON-EQ,2188
WIPRO-EQ,3787
E2E-EQ,8937
ARVINDFASN-EQ,9111
MIRCELECTR-EQ,2202
BCG-EQ,8833
MMTC-EQ,17957
ANDREWYU-EQ,5206
BBETF0432-EQ,7196
DIVOPPBEES-EQ,2636
PRAKASH-EQ,2708
ANURAS-EQ,2829
PRIMESECU-EQ,11864
PARAGMILK-EQ,17130
ASAHIINDIA-EQ,5378
NITCO-EQ,13300
SNOWMAN-EQ,4843
VINYLINDIA-EQ,16821
REPCOHOME-EQ,29598
PARSVNATH-EQ,13791
LTGILTBEES-EQ,17700
RPSGVENT-EQ,8119
ASALCBR-EQ,17598
SAKHTISUG-EQ,2969
KSCL-EQ,14972
IVZINGOLD-EQ,18292
GOODLUCK-EQ,6125
AXISBPSETF-EQ,3530
OLECTRA-EQ,10637
ATUL-EQ,263
011NSETEST-EQ,14747
GLAND-EQ,1186
APTECHT-EQ,10755
SHREERAMA-EQ,7627
ABSLLIQUID-EQ,14518
KRITINUT-EQ,11432
SANGINITA-EQ,11032
ASPINWALL-EQ,17270
JKPAPER-EQ,11860
RELCHEMQ-EQ,9652
VENUSREM-EQ,13859
VASWANI-EQ,25340
INDHOTEL-EQ,1512
AMARAJABAT-EQ,100
FMGOETZE-EQ,1190
TATAELXSI-EQ,3411
CENTURYTEX-EQ,625
SUTLEJTEX-EQ,13801
CREST-EQ,13900
GSLSU-EQ,14599
JINDRILL-EQ,13875
KMSUGAR-EQ,14667
EMAMILTD-EQ,13517
UNIINFO-EQ,7791
VAKRANGEE-EQ,13342
CROWN-EQ,8083
HDFCSENETF-EQ,11593
V2RETAIL-EQ,14766
SIGMA-EQ,16658
IDFCFIRSTB-EQ,11184
FOCUS-EQ,6836
BFINVEST-EQ,21113
GKWLIMITED-EQ,17357
SHIVATEX-EQ,804
NV20BEES-EQ,9847
MEDPLUS-EQ,7254
DCW-EQ,817
GILLANDERS-EQ,17839
APLLTD-EQ,25328
TEXMOPIPES-EQ,18214
ICICIM150-EQ,17152
SANSERA-EQ,5751
BAJAJELEC-EQ,15034
KOTAKALPHA-EQ,7412
BIGBLOC-EQ,18431
FCL-EQ,6198
ROTO-EQ,9049
TREEHOUSE-EQ,25082
MANAKSTEEL-EQ,7463
BALPHARMA-EQ,13441
AVANTIFEED-EQ,7936
STOVEKRAFT-EQ,2107
SYNGENE-EQ,10243
ORICONENT-EQ,10159
POWERMECH-EQ,10473
ONWARDTEC-EQ,2481
HLEGLAS-EQ,2289
3MINDIA-EQ,474
IMAGICAA-EQ,7672
M&M-EQ,2031
BFUTILITIE-EQ,14567
AIRAN-EQ,9897
GINNIFILA-EQ,1142
BLAL-EQ,15067
BANSWRAS-EQ,14511
MANXT50-EQ,17181
QUESS-EQ,17704
ERIS-EQ,21154
FLUOROCHEM-EQ,13750
SCHAND-EQ,20698
HERITGFOOD-EQ,4598
AARON-EQ,1030
SOUTHWEST-EQ,9678
POWERGRID-EQ,14977
GREENPLY-EQ,3987
TATAMETALI-EQ,3423
AMBUJACEM-EQ,1270
031NSETEST-EQ,14753
JINDALSTEL-EQ,6733
BSE-EQ,19585
ABSLAMC-EQ,6018
MBAPL-EQ,12686
SBCL-EQ,4656
TAJGVK-EQ,9354
RPPINFRA-EQ,20760
PDMJEPAPER-EQ,15377
NAVKARCORP-EQ,10557
DELTAMAGNT-EQ,1214
ZENITHEXPO-EQ,4176
GTLINFRA-EQ,13745
AAREYDRUGS-EQ,5245
ACL-EQ,15420
ICICINV20-EQ,17475
SUPERHOUSE-EQ,20616
SATIN-EQ,10453
RAMCOSYS-EQ,7851
HINDCOMPOS-EQ,1372
WEBELSOLAR-EQ,14602
ENIL-EQ,13192
SEPC-EQ,15308
RESPONIND-EQ,20323
SALSTEEL-EQ,11634
UFLEX-EQ,1053
FORTIS-EQ,14592
VIKASLIFE-EQ,9931
ABB-EQ,13
VBL-EQ,18921
KPITTECH-EQ,9683
STARCEMENT-EQ,21091
MOMOMENTUM-EQ,8182
KIRLOSENG-EQ,20936
ICICIPRULI-EQ,18652
KOTAKBKETF-EQ,5851
ETHOSLTD-EQ,9750
PDSL-EQ,5264
AKSHOPTFBR-EQ,8591
TEJASNET-EQ,21131
SHREDIGCEM-EQ,3099
ASTERDM-EQ,1508
INDOCO-EQ,11677
BEPL-EQ,419
LINC-EQ,6951
DCBBANK-EQ,13725
LUMAXIND-EQ,2018
FINPIPE-EQ,1041
GATEWAY-EQ,8510
INDIAMART-EQ,10726
ELGIRUBCO-EQ,24924
PIIND-EQ,24184
GULPOLY-EQ,6286
NTPC-EQ,11630
DHANI-EQ,15384
ACCURACY-EQ,1465
AUROPHARMA-EQ,275
SUZLON-EQ,12018
BAJAJCON-EQ,19531
BLISSGVS-EQ,19265
OILCOUNTUB-EQ,2472
IVZINNIFTY-EQ,24217
SHANKARA-EQ,20321
BBL-EQ,13761
PRITI-EQ,8304
ADVENZYMES-EQ,18039
DODLA-EQ,4822
ELECON-EQ,13643
VINATIORGA-EQ,17364
LAXMIMACH-EQ,1979
HPIL-EQ,11796
TALBROAUTO-EQ,13648
GEOJITFSL-EQ,11896
PANAMAPET-EQ,25392
ITDC-EQ,19299
AMBICAAGAR-EQ,11496
KHAITANLTD-EQ,3912
SMSPHARMA-EQ,14329
MAWANASUG-EQ,17022
KSB-EQ,1949
BLUECOAST-EQ,7480
GNA-EQ,18571
PRECOT-EQ,2711
BERGEPAINT-EQ,404
TIMESGTY-EQ,10717
STARPAPER-EQ,3291
GOLDSHARE-EQ,14535
RAJESHEXPO-EQ,7401
ICICIMCAP-EQ,17702
JASH-EQ,13982
WABAG-EQ,20188
GHCL-EQ,1127
GLOBUSSPR-EQ,17424
RITES-EQ,3761
NILKAMAL-EQ,2421
HINDPETRO-EQ,1406
CUB-EQ,5701
111NSETEST-EQ,14774
BDL-EQ,2144
DATAPATTNS-EQ,7358
WHEELS-EQ,3766
MAHLOG-EQ,385
SUPRAJIT-EQ,11689
DAMODARIND-EQ,17541
IBREALEST-EQ,14450
JKIL-EQ,15266
RTNPOWER-EQ,17520
MUNJALSHOW-EQ,2307
CENTENKA-EQ,619
TRF-EQ,17987
TCIEXP-EQ,19223
DIL-EQ,8657
AARVI-EQ,19073
MARUTI-EQ,10999
KINGFA-EQ,18944
LATENTVIEW-EQ,6818
SIEMENS-EQ,3150
APOLSINHOT-EQ,6302
SASKEN-EQ,11983
NAGREEKEXP-EQ,14702
SOUTHBANK-EQ,5948
CERA-EQ,15039
MON100-EQ,22739
NOVARTIND-EQ,9007
RADHIKAJWE-EQ,10343
SUNDARAM-EQ,18931
JPASSOCIAT-EQ,11460
101NSETEST-EQ,14772
LYPSAGEMS-EQ,31468
SARLAPOLY-EQ,14043
SFL-EQ,19184
INFY-EQ,1594
POKARNA-EQ,17651
COLPAL-EQ,15141
TIINDIA-EQ,312
ALKALI-EQ,16959
KOTHARIPET-EQ,4594
NIPPOBATRY-EQ,6782
PNC-EQ,9342
UNIVASTU-EQ,18977
TRIL-EQ,15174
IFGLEXPOR-EQ,436
NRL-EQ,13675
GAL-EQ,20296
SHYAMCENT-EQ,10188
NRBBEARING-EQ,7553
CHALET-EQ,8546
MOVALUE-EQ,10825
JAYAGROGN-EQ,4041
HDFCBSE500-EQ,14230
BIKAJI-EQ,11966
061NSETEST-EQ,14762
ASHIANA-EQ,24403
SPLIL-EQ,11935
AVADHSUGAR-EQ,21406
BHARATFORG-EQ,422
DHAMPURSUG-EQ,857
VETO-EQ,8652
RIIL-EQ,2912
081NSETEST-EQ,14767
IGPL-EQ,14086
CHEMCON-EQ,270
DIVGIITTS-EQ,14479
SUPRIYA-EQ,7390
DEEPINDS-EQ,3292
FUSION-EQ,11932
PFIZER-EQ,2643
IMFA-EQ,19235
AMBIKCO-EQ,15234
URJA-EQ,20203
JMFINANCIL-EQ,13637
VINEETLAB-EQ,3807
MAXVIL-EQ,17468
NFL-EQ,13925
JKLAKSHMI-EQ,13491
MANORG-EQ,6422
SPENCERS-EQ,8163
AUTOAXLES-EQ,278
UFO-EQ,9039
SDBL-EQ,1338
CESC-EQ,628
SUVIDHAA-EQ,2998
GMRINFRA-EQ,13528
