symbol,flag,percent_return,prev_high,prev_low,prev_close,PIVOT,RES1,RES2,RES3,SUP1,SUP2,SUP3
SRF,0,1.6,2214.85,2154.55,2210.2,2193.2,2231.85,2253.5,2292.15,2171.55,2132.9,2111.25
SUNPHARMA,0,0.61,1083.75,1070.0,1078.75,1077.5,1085.0,1091.25,1098.75,1071.25,1063.75,1057.5
SUNTV,0,2.66,492.0,471.35,488.9,484.08,496.81,504.73,517.46,476.16,463.43,455.51
SYNGENE,0,2.41,782.0,759.4,780.45,773.95,788.5,796.55,811.1,765.9,751.35,743.3
TATACHEM,0,-0.89,998.2,982.0,983.45,987.88,993.76,1004.08,1009.96,977.56,971.68,961.36
TATACOMM,0,-1.79,1659.95,1605.0,1609.15,1624.7,1644.4,1679.65,1699.35,1589.45,1569.75,1534.5
TATACONSUM,0,0.35,847.8,838.8,843.25,843.28,847.76,852.28,856.76,838.76,834.28,829.76
TATAMOTORS,0,-1.12,630.8,619.35,621.45,623.87,628.39,635.32,639.84,616.94,612.42,605.49
TATAPOWER,0,0.35,227.25,225.2,226.3,226.25,227.3,228.3,229.35,225.25,224.2,223.2
TATASTEEL,0,-0.39,116.05,114.0,114.7,114.92,115.84,116.97,117.89,113.79,112.87,111.74
TECHM,0,-0.18,1169.0,1153.45,1159.4,1160.62,1167.79,1176.17,1183.34,1152.24,1145.07,1136.69
TORNTPHARM,0,-0.6,1950.4,1917.0,1930.0,1932.47,1947.94,1965.87,1981.34,1914.54,1899.07,1881.14
TORNTPOWER,0,0.27,634.9,621.65,625.85,627.47,633.29,640.72,646.54,620.04,614.22,606.79
TRENT,0,-0.3,1700.0,1667.95,1687.95,1685.3,1702.65,1717.35,1734.7,1670.6,1653.25,1638.55
TVSMOTOR,0,-0.32,1354.4,1331.2,1338.65,1341.42,1351.64,1364.62,1374.84,1328.44,1318.22,1305.24
UBL,0,0.08,1499.3,1473.15,1485.7,1486.05,1498.95,1512.2,1525.1,1472.8,1459.9,1446.65
UPL,0,-0.06,651.2,642.5,643.85,645.85,649.2,654.55,657.9,640.5,637.15,631.8
VEDL,0,0.04,278.1,276.05,277.65,277.27,278.49,279.32,280.54,276.44,275.22,274.39
VOLTAS,0,0.4,764.65,759.0,762.35,762.0,765.0,767.65,770.65,759.35,756.35,753.7
WHIRLPOOL,0,-0.23,1463.2,1448.65,1455.05,1455.63,1462.61,1470.18,1477.16,1448.06,1441.08,1433.51
WIPRO,0,-0.05,393.95,390.35,391.85,392.05,393.75,395.65,397.35,390.15,388.45,386.55
ZEEL,0,-0.02,204.1,200.55,201.95,202.2,203.85,205.75,207.4,200.3,198.65,196.75
ZYDUSLIFE,0,1.46,595.4,583.3,593.4,590.7,598.1,602.8,610.2,586.0,578.6,573.9
FORTIS,0,-0.24,333.0,326.3,331.3,330.2,334.1,336.9,340.8,327.4,323.5,320.7
GLAND,0,-1.05,1110.0,1084.5,1092.7,1095.73,1106.96,1121.23,1132.46,1081.46,1070.23,1055.96
HINDZINC,0,0.51,333.0,331.6,332.65,332.42,333.24,333.82,334.64,331.84,331.02,330.44
INDIANB,0,4.58,326.75,310.0,324.3,320.35,330.7,337.1,347.45,313.95,303.6,297.2
PRESTIGE,0,0.35,594.0,581.9,585.15,587.02,592.14,599.12,604.24,580.04,574.92,567.94
UNIONBANK,0,1.42,83.2,81.2,82.3,82.23,83.26,84.23,85.26,81.26,80.23,79.26
VBL,0,2.0,849.0,828.05,841.75,839.6,851.15,860.55,872.1,830.2,818.65,809.25
SONACOMS,0,0.5,549.4,540.9,542.85,544.38,547.86,552.88,556.36,539.36,535.88,530.86
